Rxn_RK,Rxn_FF,LB_AP,UB_AP,LB_FF,UB_FF,LB_RK,UB_RK,name_chek,
EX_h2o(e),EX_h2o_e,-999999,999999,-999999,999999,-1E+30,1.00E+30,,
EX_12ppd-S(e),EX_12ppd__S_e,0,999999,0,999999,0,1.00E+30,,
EX_15dap(e),EX_15dap_e,0,999999,0,999999,0,1.00E+30,,
EX_26dap-M(e),EX_26dap__M_e,0,999999,0,999999,0,1.00E+30,,
EX_2ddglcn(e),EX_2ddglcn_e,0,999999,0,999999,0,1.00E+30,,
EX_3hcinnm(e),EX_3hcinnm_e,0,999999,0,999999,0,1.00E+30,,
EX_3hpppn(e),EX_3hpppn_e,0,999999,0,999999,0,1.00E+30,,
EX_4abut(e),EX_4abut_e,0,999999,0,999999,0,1.00E+30,,
EX_acac(e),EX_ac_e,0,1000,0,999999,0,1.00E+30,,
EX_acac(e),EX_acac_e,0,999999,0,999999,0,1.00E+30,,
EX_3hcinnm(e),EX_h_e,-999999,999999,-999999,999999,0,1.00E+30,,
EX_acald(e),EX_acald_e,0,999999,0,999999,0,1.00E+30,,
EX_acgam(e),EX_acgam_e,0,999999,0,999999,0,1.00E+30,,
EX_acmana(e),EX_acmana_e,0,999999,0,999999,0,1.00E+30,,
EX_hdca(e),EX_hdca_e,0,999999,0,999999,0,1.00E+30,,
EX_acnam(e),EX_acnam_e,0,999999,0,999999,0,1.00E+30,,
EX_ade(e),EX_ade_e,0,999999,0,999999,0,1.00E+30,,
EX_his-L(e),EX_his__L_e,0,999999,0,999999,0,1.00E+30,,
EX_adn(e),EX_adn_e,0,999999,0,999999,0,1.00E+30,,
EX_akg(e),EX_akg_e,0,999999,0,999999,Varied,Varied,,
EX_hxan(e),EX_hxan_e,0,999999,0,999999,0,1.00E+30,,
EX_ala-D(e),EX_ala__D_e,0,999999,0,999999,0,1.00E+30,,
EX_idon-L(e),EX_idon__L_e,0,999999,0,999999,0,1.00E+30,,
EX_ala-D(e),EX_ala__L_e,0,999999,0,999999,0,1.00E+30,,
EX_alltn(e),EX_alltn_e,0,999999,0,999999,0,1.00E+30,,
EX_amp(e),EX_amp_e,0,999999,0,999999,0,1.00E+30,,
EX_arab-L(e),EX_arab__L_e,0,999999,0,999999,0,1.00E+30,,
EX_arg-L(e),EX_arg__L_e,0,999999,0,999999,0,1.00E+30,,
EX_asn-L(e),EX_asn__L_e,0,999999,0,999999,0,1.00E+30,,
EX_asp-L(e),EX_asp__L_e,0,999999,0,999999,0,1.00E+30,,
EX_ile-L(e),EX_ile__L_e,0,999999,0,999999,0,1.00E+30,,
EX_4abut(e),EX_but_e,0,999999,0,999999,0,1.00E+30,,
EX_cbl1(e),EX_cbl1_e,0,999999,0,999999,0,1.00E+30,,
EX_chol(e),EX_chol_e,0,999999,0,999999,0,1.00E+30,,
EX_indole(e),EX_indole_e,0,999999,0,999999,0,1.00E+30,,
EX_cit(e),EX_cit_e,0,999999,0,999999,0,1.00E+30,,
EX_co2(e),EX_co2_e,-999999,1000,-999999,999999,-1E+30,1.00E+30,,
EX_crn(e),EX_crn_e,0,999999,0,999999,0,1.00E+30,,
EX_csn(e),EX_csn_e,0,999999,0,999999,0,1.00E+30,,
EX_ins(e),EX_ins_e,0,999999,0,999999,0,1.00E+30,,
EX_cynt(e),EX_cynt_e,0,999999,0,999999,0,1.00E+30,,
EX_k(e),EX_k_e,-999999,999999,-999999,999999,-1E+30,1.00E+30,,
EX_cys-L(e),EX_cys__L_e,0,999999,0,999999,0,1.00E+30,,
EX_cytd(e),EX_cytd_e,0,999999,0,999999,0,1.00E+30,,
EX_lac-D(e),EX_lac__D_e,0,1000,0,999999,Varied,Varied,,
EX_dad-2(e),EX_dad_2_e,0,999999,0,999999,0,1.00E+30,,
EX_dcyt(e),EX_dcyt_e,0,999999,0,999999,0,1.00E+30,,
EX_dgsn(e),EX_dgsn_e,0,999999,0,999999,0,1.00E+30,,
EX_dha(e),EX_dha_e,0,999999,0,999999,0,1.00E+30,,
EX_din(e),EX_din_e,0,999999,0,999999,0,1.00E+30,,
EX_dms(e),EX_dms_e,0,999999,0,999999,0,1.00E+30,,
EX_lac-D(e),EX_lac__L_e,0,999999,0,999999,Varied,Varied,,
EX_dmso(e),EX_dmso_e,0,999999,0,999999,0,1.00E+30,,
EX_duri(e),EX_duri_e,0,999999,0,999999,0,1.00E+30,,
